complaint,priority
Please report: major water pipe burst in the hostel bathroom,High
Water is flooding the room due to a broken pipe.,High
Main water supply pipe is leaking heavily,High
Sewage water is overflowing into the hostel corridor,High
Bathroom drainage is completely blocked and overflowing.,High
No water supply in the entire hostel block,High
Bathroom tap is leaking continuously in my room.,Medium
Please report: wash basin drain is blocked,Medium
Shower is not working properly.,Medium
Please report: toilet flush is not working,Medium
Please report: water pressure in the bathroom is very low,Medium
Tap handle is broken in my room.,Medium
Please report: need a new bathroom tap,Low
Bathroom mirror has water stains,Low
Need a replacement bucket,Low
Please report: water bottle filling tap is slightly loose,Low
Need an extra mug for the bathroom.,Low
Electrical sparks are coming from the room switchboard.,High
Burning smell is coming from the electrical socket.,High
Please report: power is completely out in the hostel block,High
Please report: exposed electrical wire is hanging near the room,High
Please report: main electrical panel is making unusual sounds,High
Please report: ceiling fan is not working,Medium
Tube light is not working in the room.,Medium
One electrical socket is not working.,Medium
Room switch is damaged in my room.,Medium
Study lamp socket has stopped working.,Medium
Fan regulator is not working properly,Medium
Please report: need an additional charging socket,Low
Light is slightly dim in the room,Low
Please report: need a replacement led bulb,Low
Want an extra extension board in my room.,Low
Switch cover is loose in my room.,Low
Ceiling is leaking heavily during rain.,High
Please report: hostel room door cannot be locked,High
Broken window glass is creating a safety risk in my room.,High
Ceiling plaster has fallen inside the room.,High
Staircase railing is broken and unsafe,High
Door lock is damaged.,Medium
Window latch is broken in my room.,Medium
Room door is difficult to close in my room.,Medium
Ceiling fan mounting is loose in my room.,Medium
Wall has a large crack,Medium
Please report: wardrobe door is damaged,Medium
Please report: need a new curtain rod,Low
Room paint needs minor touch-up in my room.,Low
Please report: wardrobe handle is loose,Low
Need a replacement door stopper.,Low
Please report: window curtain is damaged,Low
Sewage smell is spreading through the hostel floor.,High
Wastewater is accumulated in the corridor.,High
Large amount of garbage is blocking the hostel entrance,High
Toilet is extremely unhygienic and unusable in my room.,High
Please report: bathroom has not been cleaned for several days,Medium
Dustbin is overflowing on the hostel floor,Medium
Room cleaning has not been done,Medium
Corridor needs immediate cleaning in my room.,Medium
Washroom floor is very dirty.,Medium
Need regular room cleaning in my room.,Low
Please report: dust is accumulating under the bed,Low
Please clean the hostel window in my room.,Low
Need a new waste bin.,Low
Please report: room floor needs sweeping,Low
Bed frame is broken and unsafe to sleep on in my room.,High
Wardrobe has collapsed and is blocking the room.,High
Broken furniture is creating a safety hazard,High
Study table is damaged.,Medium
Bed is making a loud noise,Medium
Chair leg is broken,Medium
Wardrobe door is not closing,Medium
Mattress is badly damaged.,Medium
Need a new chair in my room.,Low
Need an extra study table.,Low
Chair cushion is damaged in my room.,Low
Need a replacement shelf in my room.,Low
Need an extra clothes hanger,Low
Internet is completely unavailable across the hostel in my room.,High
Network equipment is down and students cannot access the internet,High
Hostel Wi-Fi has been unavailable for the entire day in my room.,High
Wi-Fi is very slow in the room.,Medium
Internet connection keeps disconnecting in my room.,Medium
Hostel Wi-Fi signal is weak.,Medium
Cannot connect to the hostel network.,Medium
Internet speed drops frequently,Medium
Wi-Fi signal is weak near my study table,Low
Need the Wi-Fi password reset.,Low
Internet is slightly slower than usual in my room.,Low
Please add better Wi-Fi coverage to this room in my room.,Low
Gas leakage smell is coming from the hostel kitchen in my room.,High
Please report: fire alarm is not working during an emergency test,High
Emergency exit is blocked in my room.,High
Smoke is coming from an electrical appliance in my room.,High
Please report: hostel entrance security door is not functioning,High
CCTV camera is not working,Medium
Emergency light is not working,Medium
Staircase light is not working.,Medium
Security gate lock is damaged,Medium
First aid box needs inspection,Medium
Need a safety notice near the staircase,Low
Please replace a faded emergency sign,Low
Need an additional fire safety instruction board in my room.,Low
Please report: safety instructions are not visible in the corridor,Low
Please report: lost student is unable to access the hostel room,High
Hostel entrance is locked and students cannot enter in my room.,High
Please report: urgent assistance is needed in the hostel block,High
Need assistance with hostel room allocation,Medium
Room key is missing,Medium
Hostel gate timing information is unclear.,Medium
Need help moving to another room.,Medium
Complaint about repeated disturbance in the corridor.,Medium
Need an extra room key.,Low
Please report: please provide hostel rule information,Low
Need a new notice board,Low
Request for an additional room hanger,Low
Need information about hostel facilities,Low
Major water pipe burst in the hostel bathroom.,High
Water is flooding the room due to a broken pipe.,High
Please report: main water supply pipe is leaking heavily,High
Please report: sewage water is overflowing into the hostel corridor,High
Bathroom drainage is completely blocked and overflowing in my room.,High
No water supply in the entire hostel block,High
Bathroom tap is leaking continuously.,Medium
Wash basin drain is blocked in my room.,Medium
Shower is not working properly in my room.,Medium
Toilet flush is not working,Medium
Water pressure in the bathroom is very low.,Medium
Please report: tap handle is broken,Medium
Need a new bathroom tap.,Low
Bathroom mirror has water stains,Low
Need a replacement bucket,Low
Water bottle filling tap is slightly loose.,Low
Need an extra mug for the bathroom in my room.,Low
Electrical sparks are coming from the room switchboard.,High
Burning smell is coming from the electrical socket.,High
Power is completely out in the hostel block.,High
Exposed electrical wire is hanging near the room.,High
